LgEval Error Summary for: Results_result/result.diff
Tue Dec  6 02:39:58 2022

NOTE: This file contains 3 confusion matrices.

I. Node Label Confusion Matrix: 143 unique labels. ABSENT: a node missing in the output or target graph
Output:,'!','(',')','+','-','.','/','0','1','2','3','4','5','6','7','8','9','<','=','>','A','ABSENT','B','B_','C','COMMA','C_','Delta','E','E_','F','F_','G','H','H_','I','I_','L','L_','M','N','N_','P','P_','R','R_','S','T','T_','V','V_','X','X_','Y','[','\Delta','\alpha','\beta','\cos','\div','\exists','\forall','\gamma','\geq','\gt','\in','\infty','\int','\lambda','\ldots','\leq','\lim','\log','\lt','\mu','\neq','\phi','\pi','\pm','\prime','\rightarrow','\sigma','\sin','\sqrt','\sum','\tan','\theta','\times','\{','\}',']','a','b','beta','c','cos','d','div_op','dot','e','exists','f','g','gt','h','i','in','infty','int','j','k','l','leq','lim','lt','m','mu','n','neq','o','p','pipe','prime','q','r','rightarrow','s','sigma','sin','sqrt','t','tan','theta','times','u','v','w','x','y','z','{','|','}'
'G',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'H',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'H_',,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
'I',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'I_',,1,,2,2,,,2,2,1,,10,,,,,1,,2,,,,,,8,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,18,,4,,,1,,,,,,,,,,,4,,,,,,,1,,1,,,,,,,,,,,,,,,,,,59,,,,,
'L',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'L_',,3,4,,,,,1,1,1,1,,1,2,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,4,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,2,,,,
'M',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'N',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'N_',,,,,4,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,
'P',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'P_',,3,3,,,,,42,1,,,1,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,2,1,,2,,,,,,2,,,,3,,,,,,,,,,2,,,,,8,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,,14,,,,,
'R',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'R_',,3,2,4,3,,,,,1,1,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,2,,3,,,,,2,,1,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
'S',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'T',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
