File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_36.lg, Incorrect,60,13,47,31,16,0.6230493215846533,13,156,4,35,8,0,8,4,5,8,0,1,0,5,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_37.lg, Incorrect,109,24,85,39,46,0.5603616686964575,24,552,15,59,23,0,6,3,16,10,0,0,0,16,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_38.lg, Incorrect,95,24,71,29,42,0.5448264644540238,24,552,15,48,21,0,4,2,16,9,0,0,0,16,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_39.lg, Incorrect,112,29,83,47,36,0.5100907545458884,29,812,18,64,18,0,2,1,19,14,0,0,0,19,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_40.lg, Incorrect,49,17,32,16,16,0.5285109317737836,17,272,12,24,8,0,0,0,13,8,0,1,0,13,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_41.lg, Incorrect,10,4,6,6,0,0.5690355937288492,4,12,2,5,0,0,2,1,3,1,0,1,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_42.lg, Incorrect,65,17,48,30,18,0.5591106343073887,17,272,9,38,9,0,2,1,10,8,0,0,0,10,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_43.lg, Incorrect,147,36,111,57,54,0.501276029218346,36,1260,21,82,27,0,4,2,22,17,0,1,0,22,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_44.lg, Incorrect,90,26,64,18,46,0.526603561641855,26,650,22,40,23,0,2,1,23,10,0,1,0,23,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_45.lg, Incorrect,174,41,133,61,72,0.4981018079100439,41,1640,28,91,36,0,12,6,29,14,0,1,0,29,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_46.lg, Incorrect,51,17,34,14,20,0.5415721542888646,17,272,13,24,10,0,0,0,14,7,0,1,0,14,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_47.lg, Incorrect,64,16,48,16,32,0.6041206557233562,16,240,10,29,16,0,6,3,11,6,0,0,0,11,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_48.lg, Incorrect,44,13,31,13,18,0.595153674788081,13,156,9,20,9,0,4,2,10,4,0,0,0,10,0,0,0,0,0,0,0,0
